topic,context
Economy,"In central banking, the privileged status of the central bank is that it can make as much money as it deems needed. In the United States Federal Reserve Bank, the Federal Reserve buys assets: typically, bonds issued by the Federal government. There is no limit on the bonds that it can buy and one of the tools at its disposal in a financial crisis is to take such extraordinary measures as the purchase of large amounts of assets such as commercial paper. The purpose of such operations is to ensure that adequate liquidity is available for functioning of the financial system."
Economy,"For a variety of reasons, market participants did not accurately measure the risk inherent with financial innovation such as MBS and CDOs or understand its impact on the overall stability of the financial system. For example, the pricing model for CDOs clearly did not reflect the level of risk they introduced into the system. Banks estimated that $450bn of CDO were sold between ""late 2005 to the middle of 2007""; among the $102bn of those that had been liquidated, JPMorgan estimated that the average recovery rate for ""high quality"" CDOs was approximately 32 cents on the dollar, while the recovery rate for mezzanine CDO was approximately five cents for every dollar."
Economy,"Economic growth can be defined as the increase or improvement in the inflation-adjusted market value of the goods and services produced by an economy in a financial year. Statisticians conventionally measure such growth as the percent rate of increase in the real gross domestic product, or real GDP."
Economy,"In economics, inflation is an increase in the general price level of goods and services in an economy. When the general price level rises, each unit of currency buys fewer goods and services; consequently, inflation corresponds to a reduction in the purchasing power of money. The opposite of inflation is deflation, a sustained decrease in the general price level of goods and services."
Economy,"Since the 1970s, it became clear that monetary policy performance has some benefits over fiscal policy due to the fact that it reduces political influence, as it is set by the central bank (to have an expanding economy before the general election, politicians might cut the interest rates). Additionally, fiscal policy can potentially have more supply-side effects on the economy: to reduce inflation, the measures of increasing taxes and lowering spending would not be preferred, so the government might be reluctant to use these."
Economy,Every firm has some strategies to work which usually make the progress towards achieving an optimum capital stock and not only moving smoothly from one type and size of plant and machinery to the other. This means that every firm aims to increase its profit to an optimum level rather than just moving and improving its machinery and buildings.
Economy,"Keynesian economists generally argue that aggregate demand is volatile and unstable and that, consequently, a market economy often experiences inefficient macroeconomic outcomes – a recession, when demand is low, or inflation, when demand is high. Further, they argue that these economic fluctuations can be mitigated by economic policy responses coordinated between government and central bank."
Economy,"Economist Roger Middleton states that economic historians generally agree on 1950 as the start date for the golden age,[4] while Robert Skidelsky states 1951 is the most recognized start date.[5] Both Skidelsky and Middleton have 1973 as the generally recognized end date, though sometimes the golden age is considered to have ended as early as 1970.
This long term business cycle ended with a number of events in the early 1970s:
- the collapse of the Bretton Woods monetary system in 1971
- the closing of the gold window by President Richard Nixon as a response to the Bretton Woods collapse
- the growing international trade in manufactured goods, such as automobiles and electronics
- the 1973 oil crisis,
- the 1973–74 stock market crash, and
- the ensuing 1973–75 recession"
Economy,"Macroeconomics descended from the once divided fields of business cycle theory and monetary theory.[7] The quantity theory of money was particularly influential prior to World War II. It took many forms, including the version based on the work of Irving Fisher: M\cdot V=P\cdot Q"
Geography,"High levels of precipitation cause the glaciers to descend to permafrost levels in some areas whereas in other, more arid regions, glaciers remain above about the 3,500 m (11,483 ft) level. The 1,817 square kilometres (702 sq mi) of the Alps covered by glaciers in 1876 had shrunk to 1,342 km2 (518 sq mi) by 1973, resulting in decreased river run-off levels. Forty percent of the glaciation in Austria has disappeared since 1850, and 30% of that in Switzerland."
Geography,"The islands are located about halfway between Hawaii and Australia, north of Nauru and Kiribati, east of the Federated States of Micronesia, and south of the U.S. territory of Wake Island, to which it lays claim. The atolls and islands form two groups: the Ratak (sunrise) and the Ralik (sunset). The two island chains lie approximately parallel to one another, running northwest to southeast, comprising about 750,000 square miles (1,900,000 km2) of ocean but only about 70 square miles (180 km2) of land mass. Each includes 15 to 18 islands and atolls. The country consists of a total of 29 atolls and five isolated islands."
Geography,The exact number of speakers of Somali is unknown. One source estimates that there are 7.78 million speakers of Somali in Somalia itself and 12.65 million speakers globally. The Somali language is spoken by ethnic Somalis in Greater Somalia and the Somali diaspora.
Geography,"Detroit remains one of the most racially segregated cities in the United States. From the 1940s to the 1970s a second wave of Blacks moved to Detroit to escape Jim Crow laws in the south and find jobs. However, they soon found themselves excluded from white areas of the city through violence, laws, and economic discrimination (e.g., redlining). White residents attacked black homes: breaking windows, starting fires, and exploding bombs. The pattern of segregation was later magnified by white migration to the suburbs. One of the implications of racial segregation, which correlates with class segregation, may be overall worse health for some populations."
Geography,"Alaska has few road connections compared to the rest of the U.S. The state's road system covers a relatively small area of the state, linking the central population centers and the Alaska Highway, the principal route out of the state through Canada. The state capital, Juneau, is not accessible by road, only a car ferry, which has spurred several debates over the decades about moving the capital to a city on the road system, or building a road connection from Haines. The western part of Alaska has no road system connecting the communities with the rest of Alaska."
Geography,"The gross state domestic product (GSDP) of Delhi at current prices for the year 2011-12 has been estimated at Rs 3.13 lakh crore, which is an increase of 18.7 per cent over the previous fiscal."
Geography,"The First Law of Geography, according to Waldo Tobler, is ""everything is related to everything else, but near things are more related than distant things."" This first law is the foundation of the fundamental concepts of spatial dependence and spatial autocorrelation and is utilized specifically for the inverse distance weighting method for spatial interpolation and to support the regionalized variable theory for kriging."
Geography,"The fundamental objectives of traditional cartography are to:

- Set the map's agenda and select traits of the object to be mapped. This is the concern of map editing. Traits may be physical, such as roads or land masses, or may be abstract, such as toponyms or political boundaries.
- Represent the terrain of the mapped object on flat media. This is the concern of map projections.
- Eliminate characteristics of the mapped object that are not relevant to the map's purpose. This is the concern of generalization.
- Reduce the complexity of the characteristics that will be mapped. This is also the concern of generalization.
- Orchestrate the elements of the map to best convey its message to its audience. This is the concern of map design."
Geography,"The Human Environment Interaction tradition (originally the Man-Land), also known as Integrated geography, is concerned with the description of the spatial interactions between humans and the natural world. It requires an understanding of the traditional aspects of physical and human geography, like how human societies conceptualize the environment. Integrated geography has emerged as a bridge between human and physical geography due to the increasing specialization of the two sub-fields, or branches."
Geography,"Earth's lithosphere, which constitutes the hard and rigid outer vertical layer of the Earth, includes the crust and the uppermost mantle. The lithosphere is underlain by the asthenosphere which is the weaker, hotter, and deeper part of the upper mantle. The lithosphere–asthenosphere boundary is defined by a difference in response to stress."
